"","x"
"1131","wdr75"
"1132","cbx3"
"1133","pld6"
"1134","cebpz"
"1135","dhx33"
"1136","set"
"1137","cbx5"
"1138","casp2"
"1139","cip2a"
"1140","mcm10"
"1141","ncbp2"
"1142","dscc1"
"1143","kifc1"
"1144","plscr2"
"1145","ago2"
"1146","slc4a7"
"1147","dkc1"
"1148","rfx5"
"1149","bora"
"1150","utp15"
"1151","rbmx"
"1152","cldn3"
"1153","snrpf"
"1154","vwa2"
"1155","nap1l1"
"1156","eif4g2"
"1157","khdrbs1"
"1158","sertad2"
"1159","slc29a2"
"1160","smarcd1"
"1161","gpr45"
"1162","rcn2"
"1163","slc45a3"
"1164","tsen2"
"1165","ldb1"
"1166","sap130"
"1167","spsb4"
"1168","c19orf24"
"1169","snx25"
"1170","pmf1"
"1171","bhmt"
"1172","atrx"
"1173","dut"
"1174","fto"
"1175","txndc17"
"1176","ncl"
"1177","fbl"
"1178","mad2l1"
"1179","pole"
"1180","creb1"
"1181","cdk1"
"1182","mcmbp"
"1183","ccni2"
"1184","eftud2"
"1185","mdk"
"1186","wtip"
"1187","fus"
"1188","senp1"
"1189","ipo5"
"1190","dpp3"
"1191","tspan17"
"1192","dus4l"
"1193","nuf2"
"1194","dstyk"
"1195","ddx51"
"1196","wdhd1"
"1197","hmgn2"
"1198","cnn3"
"1199","iws1"
"1200","ptpre"
"1201","mettl17"
"1202","trmt10a"
"1203","clasp1"
"1204","ap1s2"
"1205","ppfia1"
"1206","arid2"
"1207","wrnip1"
"1208","pdcd11"
"1209","plin2"
"1210","dhx37"
"1211","lrrc19"
"1212","tdrkh"
"1213","rhob"
"1214","homer3"
"1215","nol6"
"1216","rcc1"
"1217","tsnax"
"1218","caap1"
"1219","rnaseh2c"
"1220","cep57l1"
"1221","snai2"
"1222","hmgb2"
"1223","aldh1a2"
"1224","paxip1"
"1225","tcea1"
"1226","pbk"
"1227","gtf2f2"
"1228","ctgf"
"1229","prrc2c"
"1230","cenpe"
"1231","pus1"
"1232","rps19bp1"
"1233","mcm6.2"
"1234","acvr1"
"1235","mindy4"
"1236","cenpc"
"1237","cks1b"
"1238","parp2"
"1239","znf706.2"
"1240","ddx31"
"1241","tsen34"
"1242","rgs19"
"1243","ddx18"
"1244","fancg"
"1245","rcl1"
"1246","kmt5a"
"1247","chd4"
"1248","ccnf"
"1249","pds5b"
"1250","hnrnpl"
"1251","usp1"
"1252","stx2"
"1253","ppia"
"1254","bmpr1a"
"1255","ier5l"
"1256","wdr77"
"1257","tgfa"
"1258","pias1"
"1259","col18a1"
"1260","luzp1"
"1261","ccdc85c"
"1262","tada2b"
"1263","znf569"
"1264","riox2"
"1265","thoc5"
"1266","edc3"
"1267","pdk1"
"1268","phlda2"
"1269","avpi1"
"1270","tubb"
"1271","maff"
"1272","ranbp1"
"1273","brd7"
"1274","mast3"
"1275","rcbtb1"
"1276","snrpd3"
"1277","chst12"
"1278","smc6"
"1279","mzt1"
"1280","gnl3l"
"1281","rbm38"
"1282","ticrr"
"1283","snu13"
"1284","sox13"
"1285","ppdpf"
"1286","fndc3a.2"
"1287","fbxl14"
"1288","dimt1"
"1289","tardbp"
"1290","exosc3"
"1291","fam122a"
"1292","cenpl"
"1293","kpna2"
"1294","srsf10"
"1295","zcchc17"
"1296","pfkfb3"
"1297","fam53a"
"1298","nmrk2"
"1299","rhbdd2"
"1300","mrps2"
"1301","znhit3"
"1302","paxbp1"
"1303","ftsj1"
"1304","pip4p2"
"1305","twistnb"
"1306","abtb2"
"1307","topbp1"
"1308","polr1a"
"1309","tmem198"
"1310","arl4a"
"1311","ppp2r2a"
"1312","vgll1"
"1313","lmnb2"
"1314","cdca4"
"1315","mprip"
"1316","bysl"
"1317","hnrnpab"
"1318","ucp2"
"1319","stard4"
"1320","tpr"
"1321","polr1b"
"1322","kdm7a"
"1323","cep63"
"1324","scd"
"1325","cnot7"
"1326","prr12"
"1327","sirt4"
"1328","utp4"
"1329","phactr2"
"1330","spout1"
"1331","kif23"
"1332","baz1a"
"1333","paaf1"
"1334","eef2kmt"
"1335","fbxw7"
"1336","mad1l1"
"1337","rhno1"
"1338","tdrd6"
"1339","myef2"
"1340","tbp"
"1341","jarid2"
"1342","dbf4"
"1343","sass6.2"
"1344","wee1"
